,symbol,buys,sells,earnings,%
0,AAPL,15170.0,19351.0,4181.0,27.56
0,AGRO,11815.65,25144.25,13328.6,112.8
0,AL30,190869.98,0.0,0.0,0.0
0,ALUA,33379.0,30940.0,-2439.0,-7.31
0,AMZN,32885.0,52540.0,19655.0,59.77
0,BABA,9024.5,8894.0,-130.5,-1.45
0,BMA,70708.5,157616.25,86907.75,122.91
0,Balance Fund,0.0,0.0,0.0,0.0
0,CEPU,39588.75,45400.5,5811.75,14.68
0,EDN,28710.0,30597.9,1887.9,6.58
0,EWZ,44105.0,50038.5,5933.5,13.45
0,GGAL,108763.45,191540.19,82776.74,76.11
0,GLOB,17039.0,24815.0,0.0,0.0
0,LOMA,59280.0,58381.3,-898.7,-1.52
0,MELI,21000.0,38402.0,17402.0,82.87
0,PAMP,154156.7,168240.4,14083.7,9.14
0,QQQ,140580.0,194443.0,53863.0,38.31
0,SPY,170278.0,254502.0,84224.0,49.46
0,SUPV,65488.65,115226.75,49738.1,75.95
0,TGNO4,39690.0,49452.0,9762.0,24.6
0,TRAN,49630.0,62136.0,12506.0,25.2
0,TSLA,299051.99,286737.0,-12314.99,-4.12
0,TXAR,39485.0,48256.5,8771.5,22.21
0,YPFD,108254.5,130614.3,22359.8,20.65
0,TOTAL,1748953.67,2043268.84,477409.15,37.22
