         symbol        buys       sells   earnings       %
0          AAPL    15170.00    19351.00    4181.00   27.56
0          AGRO    11815.65    25144.25   13328.60  112.80
0          AL30   190869.98        0.00       0.00    0.00
0          ALUA    33379.00    30940.00   -2439.00   -7.31
0          AMZN    32885.00    52540.00   19655.00   59.77
0          BABA     9024.50     8894.00    -130.50   -1.45
0           BMA    70708.50   157616.25   86907.75  122.91
0  Balance Fund        0.00        0.00       0.00    0.00
0          CEPU    39588.75    45400.50    5811.75   14.68
0           EDN    28710.00    30597.90    1887.90    6.58
0           EWZ    44105.00    50038.50    5933.50   13.45
0          GGAL   108763.45   191540.19   82776.74   76.11
0          GLOB    17039.00    24815.00       0.00    0.00
0          LOMA    59280.00    58381.30    -898.70   -1.52
0          MELI    21000.00    38402.00   17402.00   82.87
0          PAMP   154156.70   168240.40   14083.70    9.14
0           QQQ   140580.00   194443.00   53863.00   38.31
0           SPY   170278.00   254502.00   84224.00   49.46
0          SUPV    65488.65   115226.75   49738.10   75.95
0         TGNO4    39690.00    49452.00    9762.00   24.60
0          TRAN    49630.00    62136.00   12506.00   25.20
0          TSLA   299051.99   286737.00  -12314.99   -4.12
0          TXAR    39485.00    48256.50    8771.50   22.21
0          YPFD   108254.50   130614.30   22359.80   20.65
0         TOTAL  1748953.67  2043268.84  477409.15   37.22
