,symbol,buys,sells,earnings,%
0,AAPL,18.02,19.0,0.98,5.42
0,AGRO,13.64,26.83,13.19,96.67
0,AL30,188.79,0.0,0.0,0.0
0,ALUA,36.43,32.15,-4.28,-11.74
0,AMZN,35.11,43.15,8.04,22.89
0,BABA,8.89,8.55,-0.35,-3.91
0,BMA,75.6,153.64,78.04,103.23
0,Balance Fund,0.0,0.0,0.0,0.0
0,CEPU,38.6,44.28,5.68,14.71
0,EDN,28.18,28.63,0.45,1.59
0,EWZ,49.69,49.12,-0.57,-1.14
0,GGAL,114.82,184.47,69.65,60.66
0,GLOB,19.59,24.36,0.0,0.0
0,LOMA,56.96,56.94,-0.02,-0.03
0,MELI,24.15,31.54,7.39,30.59
0,PAMP,153.09,163.94,10.85,7.09
0,QQQ,157.45,190.3,32.85,20.86
0,SPY,194.79,242.2,47.41,24.34
0,SUPV,69.64,110.68,41.04,58.94
0,TGNO4,39.25,48.23,8.99,22.89
0,TRAN,48.73,60.6,11.87,24.36
0,TSLA,292.45,279.66,-12.79,-4.37
0,TXAR,37.94,47.07,9.12,24.04
0,YPFD,106.08,127.39,21.31,20.09
0,TOTAL,1807.89,1972.73,348.85,27.87
